date,total_equity_myr,cash_balance_myr,total_stock_value_myr,total_return_pct,positions_count,stops_triggered,market_open
2025-08-31,209569.275,2900.0,206669.275,inf,14,0,False
2025-09-03,203899.72,7250.8,196648.92,0.0,10,1,False
2025-09-04,204744.155,7250.8,197493.355,0.0,10,0,False
2025-09-09,203708.375,17666.8,186041.575,0.0,8,0,False
2025-09-10,203805.14,17666.8,186138.34000000003,0.0,8,0,False
2025-09-12,204236.195,17000.8,187235.395,0.0,9,0,False
2025-09-18,204938.775,17000.8,187937.975,0.0,9,0,False
2025-09-19,204063.115,9482.8,194580.315,0.0,10,0,False
2025-09-23,204978.895,9482.8,195496.095,0.0,10,0,False
2025-09-24,203944.91500000004,39416.455,164528.46000000002,0.0,9,1,False
2025-09-25,203649.19,39416.455,164232.73500000002,0.0,9,0,False
2025-09-30,206025.88499999995,39416.455,166609.42999999996,0.0,9,0,False
