timestamp,date,type,ticker,amount_myr,reason,cash_after_injection_myr,total_injected_myr,contributed_capital_myr
2026-09-08T15:31:39.992842,2026-09-08,INJECTION,5789.KL,19789.7,"buy 51,900 5789.KL @ 0.390 (backfilled)",20241.0,19789.7,223789.7
2026-09-08T20:14:52.589320,2026-09-08,INJECTION,5293.KL,20083.0,"buy 15,100 5293.KL @ 1.330 (backfilled)",20083.0,39872.7,243872.7
