date_added,ticker,display_name,interested_buy_price_myr,notes,last_price_myr,last_price_at
2026-09-01 18:53:43,5293.KL,AME,1.3,,1.330,2026-09-08 22:24:12
2026-09-02 19:50:25,5248.KL,BAUTO,1.23,,0.915,2026-09-08 22:24:12
2026-09-02 19:51:01,5125.KL,PANTECH,0.7,,0.670,2026-09-08 22:24:12
2026-09-02 19:51:17,5133.KL,PENERGY,1.31,,0.680,2026-09-08 22:24:12
2026-09-03 22:34:34,5106.KL,AXREIT,1.7,,1.800,2026-09-08 22:24:12
